Frame         Time          Elec          VdW           Nonbond       Total         
381           381           -4194.16      -662.955      -4857.11      -4857.11      
382           382           -4004.33      -636.822      -4641.15      -4641.15      
383           383           -4033.56      -619.055      -4652.62      -4652.62      
384           384           -4074.08      -671.802      -4745.89      -4745.89      
385           385           -4041.67      -630.248      -4671.92      -4671.92      
386           386           -4161.4       -654.354      -4815.75      -4815.75      
387           387           -4078.71      -615.619      -4694.33      -4694.33      
388           388           -4047.33      -620.941      -4668.27      -4668.27      
389           389           -4119.27      -634.12       -4753.39      -4753.39      
390           390           -4071.69      -619.535      -4691.23      -4691.23      
391           391           -3968.21      -654.777      -4622.98      -4622.98      
392           392           -4103.06      -607.513      -4710.57      -4710.57      
393           393           -4030.18      -695.847      -4726.03      -4726.03      
394           394           -4033.72      -601.631      -4635.35      -4635.35      
395           395           -4080.5       -682.724      -4763.22      -4763.22      
396           396           -4158.12      -666.545      -4824.67      -4824.67      
397           397           -4126.11      -641.955      -4768.06      -4768.06      
398           398           -4053.12      -662.669      -4715.79      -4715.79      
399           399           -4231.95      -616.105      -4848.05      -4848.05      
400           400           -4057.3       -601.731      -4659.03      -4659.03      
401           401           -4257.82      -638.48       -4896.3       -4896.3       
402           402           -4259.09      -631.977      -4891.07      -4891.07      
403           403           -3979.5       -616.366      -4595.87      -4595.87      
404           404           -4077.08      -619.145      -4696.23      -4696.23      
405           405           -4009.83      -659.143      -4668.97      -4668.97      
406           406           -4050.8       -639.699      -4690.5       -4690.5       
407           407           -4034.33      -656.593      -4690.93      -4690.93      
408           408           -4093.45      -651.515      -4744.97      -4744.97      
409           409           -4058.43      -637.924      -4696.35      -4696.35      
410           410           -4045.83      -671.679      -4717.51      -4717.51      
411           411           -4044.26      -644.057      -4688.31      -4688.31      
412           412           -4110.27      -645.745      -4756.02      -4756.02      
413           413           -4037.22      -681.471      -4718.69      -4718.69      
414           414           -3963.38      -620          -4583.38      -4583.38      
415           415           -4009.92      -686.544      -4696.46      -4696.46      
416           416           -4120.56      -666.414      -4786.98      -4786.98      
417           417           -4158.6       -651.214      -4809.82      -4809.82      
418           418           -4031.04      -646.963      -4678         -4678         
419           419           -4134.22      -635.64       -4769.86      -4769.86      
420           420           -4171.67      -656.67       -4828.34      -4828.34      
421           421           -4042.44      -659.717      -4702.16      -4702.16      
422           422           -4079.06      -659.459      -4738.52      -4738.52      
423           423           -4137.74      -621.994      -4759.73      -4759.73      
424           424           -3933.23      -676.638      -4609.87      -4609.87      
425           425           -4107.79      -616.542      -4724.33      -4724.33      
426           426           -4106.65      -701.085      -4807.74      -4807.74      
427           427           -4104.43      -626.435      -4730.86      -4730.86      
428           428           -4045.1       -639.729      -4684.83      -4684.83      
429           429           -4091.4       -617.84       -4709.24      -4709.24      
430           430           -4168.38      -669.51       -4837.89      -4837.89      
431           431           -3907.98      -659.365      -4567.34      -4567.34      
432           432           -4227.96      -608.579      -4836.54      -4836.54      
433           433           -4088.85      -603.333      -4692.19      -4692.19      
434           434           -4094.65      -602.154      -4696.8       -4696.8       
435           435           -4067.83      -618.192      -4686.02      -4686.02      
436           436           -4072.32      -601.148      -4673.47      -4673.47      
437           437           -4269.54      -608.014      -4877.56      -4877.56      
438           438           -4202.81      -649.423      -4852.23      -4852.23      
439           439           -4083.32      -657.745      -4741.06      -4741.06      
440           440           -3990.37      -626.393      -4616.76      -4616.76      
441           441           -4161.74      -659.892      -4821.63      -4821.63      
442           442           -4133.95      -683.578      -4817.53      -4817.53      
443           443           -4066.86      -660.991      -4727.85      -4727.85      
444           444           -4221.51      -646.955      -4868.46      -4868.46      
445           445           -4099.03      -658.835      -4757.86      -4757.86      
446           446           -4089.32      -647.475      -4736.79      -4736.79      
447           447           -4061.68      -631.454      -4693.13      -4693.13      
448           448           -4127.12      -598.9        -4726.02      -4726.02      
449           449           -4019.98      -629.702      -4649.68      -4649.68      
450           450           -4133.8       -674.459      -4808.26      -4808.26      
451           451           -3986.44      -662.284      -4648.72      -4648.72      
452           452           -4144.09      -646.108      -4790.19      -4790.19      
453           453           -3851.34      -689.424      -4540.77      -4540.77      
454           454           -3968.88      -651.714      -4620.59      -4620.59      
455           455           -4046.29      -627.244      -4673.54      -4673.54      
456           456           -3874.07      -632.596      -4506.67      -4506.67      
457           457           -3845.67      -674.476      -4520.14      -4520.14      
458           458           -3817.44      -677.813      -4495.26      -4495.26      
459           459           -3933.02      -625.184      -4558.21      -4558.21      
460           460           -3864.57      -649.575      -4514.15      -4514.15      
461           461           -4003.99      -652.461      -4656.45      -4656.45      
462           462           -3989.82      -628.842      -4618.66      -4618.66      
463           463           -3930.82      -632.023      -4562.84      -4562.84      
464           464           -3930.05      -606.305      -4536.36      -4536.36      
465           465           -3982.02      -618.254      -4600.27      -4600.27      
466           466           -4184.96      -620.517      -4805.47      -4805.47      
467           467           -4102.84      -673.714      -4776.55      -4776.55      
468           468           -4155.98      -628.471      -4784.45      -4784.45      
469           469           -3996.29      -626.686      -4622.97      -4622.97      
470           470           -4046.77      -602.106      -4648.88      -4648.88      
471           471           -4069.82      -610.762      -4680.58      -4680.58      
472           472           -4146.16      -663.288      -4809.45      -4809.45      
473           473           -4013.7       -621.406      -4635.1       -4635.1       
474           474           -4002.17      -646.529      -4648.7       -4648.7       
475           475           -3945.73      -680.216      -4625.94      -4625.94      
476           476           -3881.95      -674.707      -4556.66      -4556.66      
477           477           -3846.83      -624.9        -4471.73      -4471.73      
478           478           -3855.69      -604.979      -4460.67      -4460.67      
479           479           -3894.65      -651.7        -4546.35      -4546.35      
480           480           -3838.03      -659.975      -4498         -4498         
481           481           -3881.2       -648.821      -4530.02      -4530.02      
482           482           -4067.02      -644.558      -4711.58      -4711.58      
483           483           -4078.65      -630.337      -4708.99      -4708.99      
484           484           -4112.02      -621.527      -4733.55      -4733.55      
485           485           -4096.02      -662.758      -4758.77      -4758.77      
486           486           -4035.08      -628.133      -4663.21      -4663.21      
487           487           -4089.81      -655.047      -4744.85      -4744.85      
488           488           -3931.44      -603.704      -4535.15      -4535.15      
489           489           -4134.08      -673.518      -4807.6       -4807.6       
490           490           -4035.19      -616.93       -4652.12      -4652.12      
491           491           -4189.52      -654.143      -4843.66      -4843.66      
